DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
1/4/1971,357.73,357.73,357.73,357.73,1,0,50
1/5/1971,357.81,357.81,357.81,357.81,1,0,50
1/6/1971,357.86,357.86,357.86,357.86,1,0,50
1/7/1971,357.87,357.87,357.87,357.87,1,0,50
1/8/1971,357.82,357.82,357.82,357.82,1,0,50
1/11/1971,357.95,357.95,357.95,357.95,1,0,50
1/12/1971,358.06,358.06,358.06,358.06,1,0,50
1/13/1971,358.44,358.44,358.44,358.44,1,0,50
1/14/1971,358.4,358.4,358.4,358.4,1,0,50
1/15/1971,358.4,358.4,358.4,358.4,1,0,50
1/18/1971,358.29,358.29,358.29,358.29,1,0,50
1/19/1971,358.35,358.35,358.35,358.35,1,0,50
1/20/1971,358.4,358.4,358.4,358.4,1,0,50
1/21/1971,358.27,358.27,358.27,358.27,1,0,50
1/22/1971,357.9,357.9,357.9,357.9,1,0,50
1/25/1971,357.73,357.73,357.73,357.73,1,0,50
1/26/1971,357.78,357.78,357.78,357.78,1,0,50
1/27/1971,357.79,357.79,357.79,357.79,1,0,50
1/28/1971,357.83,357.83,357.83,357.83,1,0,50
1/29/1971,357.72,357.72,357.72,357.72,1,0,50
2/1/1971,357.67,357.67,357.67,357.67,1,0,50
2/2/1971,357.55,357.55,357.55,357.55,1,0,50
2/3/1971,357.54,357.54,357.54,357.54,1,0,50
2/4/1971,357.51,357.51,357.51,357.51,1,0,50
2/5/1971,357.53,357.53,357.53,357.53,1,0,50
2/8/1971,357.49,357.49,357.49,357.49,1,0,50
2/9/1971,357.5,357.5,357.5,357.5,1,0,50
2/10/1971,357.5,357.5,357.5,357.5,1,0,50
2/11/1971,357.5,357.5,357.5,357.5,1,0,50
2/16/1971,357.53,357.53,357.53,357.53,1,0,50
2/17/1971,357.53,357.53,357.53,357.53,1,0,50
2/18/1971,357.53,357.53,357.53,357.53,1,0,50
2/19/1971,357.56,357.56,357.56,357.56,1,0,50
2/22/1971,357.6,357.6,357.6,357.6,1,0,50
2/23/1971,357.55,357.55,357.55,357.55,1,0,50
2/24/1971,357.6,357.6,357.6,357.6,1,0,50
2/25/1971,357.56,357.56,357.56,357.56,1,0,50
2/26/1971,357.56,357.56,357.56,357.56,1,0,50
3/1/1971,357.63,357.63,357.63,357.63,1,0,50
3/2/1971,357.56,357.56,357.56,357.56,1,0,50
3/3/1971,357.49,357.49,357.49,357.49,1,0,50
3/4/1971,357.45,357.45,357.45,357.45,1,0,50
3/5/1971,357.59,357.59,357.59,357.59,1,0,50
3/8/1971,357.55,357.55,357.55,357.55,1,0,50
3/9/1971,357.46,357.46,357.46,357.46,1,0,50
3/10/1971,357.59,357.59,357.59,357.59,1,0,50
3/11/1971,357.56,357.56,357.56,357.56,1,0,50
3/12/1971,357.58,357.58,357.58,357.58,1,0,50
3/15/1971,357.54,357.54,357.54,357.54,1,0,50
3/16/1971,357.49,357.49,357.49,357.49,1,0,50
3/17/1971,357.53,357.53,357.53,357.53,1,0,50
3/18/1971,357.56,357.56,357.56,357.56,1,0,50
3/19/1971,357.56,357.56,357.56,357.56,1,0,50
3/22/1971,357.44,357.44,357.44,357.44,1,0,50
3/23/1971,357.53,357.53,357.53,357.53,1,0,50
3/24/1971,357.53,357.53,357.53,357.53,1,0,50
3/25/1971,357.47,357.47,357.47,357.47,1,0,50
3/26/1971,357.47,357.47,357.47,357.47,1,0,50
3/29/1971,357.44,357.44,357.44,357.44,1,0,50
3/30/1971,357.49,357.49,357.49,357.49,1,0,50
3/31/1971,357.42,357.42,357.42,357.42,1,0,50
4/1/1971,357.49,357.49,357.49,357.49,1,0,50
4/2/1971,357.53,357.53,357.53,357.53,1,0,50
4/5/1971,357.5,357.5,357.5,357.5,1,0,50
4/6/1971,357.46,357.46,357.46,357.46,1,0,50
4/7/1971,357.55,357.55,357.55,357.55,1,0,50
4/8/1971,357.55,357.55,357.55,357.55,1,0,50
4/9/1971,357.5,357.5,357.5,357.5,1,0,50
4/12/1971,357.5,357.5,357.5,357.5,1,0,50
4/13/1971,357.62,357.62,357.62,357.62,1,0,50
4/14/1971,357.58,357.58,357.58,357.58,1,0,50
4/15/1971,357.5,357.5,357.5,357.5,1,0,50
4/16/1971,357.54,357.54,357.54,357.54,1,0,50
4/19/1971,357.49,357.49,357.49,357.49,1,0,50
4/20/1971,357.49,357.49,357.49,357.49,1,0,50
4/21/1971,357.49,357.49,357.49,357.49,1,0,50
4/22/1971,357.49,357.49,357.49,357.49,1,0,50
4/23/1971,357.49,357.49,357.49,357.49,1,0,50
4/26/1971,357.5,357.5,357.5,357.5,1,0,50
4/27/1971,357.49,357.49,357.49,357.49,1,0,50
4/28/1971,357.5,357.5,357.5,357.5,1,0,50
4/29/1971,357.41,357.41,357.41,357.41,1,0,50
4/30/1971,357.4,357.4,357.4,357.4,1,0,50
5/3/1971,357.41,357.41,357.41,357.41,1,0,50
5/4/1971,357.4,357.4,357.4,357.4,1,0,50
5/5/1971,357.4,357.4,357.4,357.4,1,0,50
5/6/1971,357.41,357.41,357.41,357.41,1,0,50
5/7/1971,357.41,357.41,357.41,357.41,1,0,50
5/10/1971,357.14,357.14,357.14,357.14,1,0,50
5/11/1971,357.44,357.44,357.44,357.44,1,0,50
5/12/1971,357.53,357.53,357.53,357.53,1,0,50
5/13/1971,357.49,357.49,357.49,357.49,1,0,50
5/14/1971,357.49,357.49,357.49,357.49,1,0,50
5/17/1971,357.4,357.4,357.4,357.4,1,0,50
5/18/1971,357.44,357.44,357.44,357.44,1,0,50
5/19/1971,357.4,357.4,357.4,357.4,1,0,50
5/20/1971,357.46,357.46,357.46,357.46,1,0,50
5/21/1971,357.4,357.4,357.4,357.4,1,0,50
5/24/1971,357.4,357.4,357.4,357.4,1,0,50
5/25/1971,357.4,357.4,357.4,357.4,1,0,50
5/26/1971,357.44,357.44,357.44,357.44,1,0,50
5/27/1971,357.4,357.4,357.4,357.4,1,0,50
5/28/1971,357.4,357.4,357.4,357.4,1,0,50
6/1/1971,357.46,357.46,357.46,357.46,1,0,50
6/2/1971,357.4,357.4,357.4,357.4,1,0,50
6/3/1971,357.46,357.46,357.46,357.46,1,0,50
6/4/1971,357.4,357.4,357.4,357.4,1,0,50
6/7/1971,357.4,357.4,357.4,357.4,1,0,50
6/8/1971,357.4,357.4,357.4,357.4,1,0,50
6/9/1971,357.4,357.4,357.4,357.4,1,0,50
6/10/1971,357.4,357.4,357.4,357.4,1,0,50
6/11/1971,357.4,357.4,357.4,357.4,1,0,50
6/14/1971,357.4,357.4,357.4,357.4,1,0,50
6/15/1971,357.46,357.46,357.46,357.46,1,0,50
6/16/1971,357.46,357.46,357.46,357.46,1,0,50
